Alloy No.,Al,Co,Cr,Cu,Fe,Ni,"Hardness, HV",modulus_mismatch,shear_modulus,cohesive_energy,6th_square_of_work_function,config_entropy,vec,itinerant_electrons
1.0,18.2,9.1,18.2,18.2,18.2,18.2,473.0,0.11999999999977745,511.5613457815877,263.5556562234622,2.0126493937461367,2.6527931008923025,7.734999999999999,24.297
2.0,18.2,18.2,9.1,18.2,18.2,18.2,367.0,0.11999999999976751,510.6679190670662,263.6959570416098,2.0126493937461367,2.6527931008923025,8.008000000000001,24.569999999999997
3.0,18.2,18.2,18.2,18.2,9.1,18.2,418.0,0.11999999999977892,511.6984968083563,263.6089868928083,2.2745721387246673,2.6527931008923034,7.8260000000000005,24.387999999999998
4.0,18.2,18.2,18.2,18.2,18.2,9.1,423.0,0.11999999999977937,511.7386613015432,263.53622879611737,2.0059078088550297,2.652793100892303,7.644,24.205999999999996
5.0,5.3,21.1,21.1,0,26.3,26.3,168.0,0.09999999999982745,515.393790811304,264.9536908303126,10.738864418829323,2.2722006143856786,8.058,25.652
6.0,12.5,12.5,12.5,0,12.5,50,225.0,0.0999999999998196,513.3392711848109,264.83134428426536,247.25348198801646,2.0794415416798357,8.25,25.25
7.0,0,0,25,25,25,25,143.0,0.0799999999999186,514.2010890728893,264.0197078681269,12.334331288513916,2.0794415416798357,8.75,26.75
8.0,0,5,23.8,23.8,23.8,23.8,146.0,0.0999999999998136,514.2936815506545,264.14117547253034,9.18224437032101,2.274551936900175,8.780000000000001,26.816000000000003
9.0,0,10,22.5,22.5,22.5,22.5,150.0,0.0999999999998594,514.3044481639713,264.1807463252086,6.570594354299125,2.3591218475990248,8.774999999999999,26.775000000000002
10.0,0,15,21.3,21.3,21.3,21.3,158.0,0.09999999999987177,514.3965759270671,264.3012660763942,4.895926816465998,2.4032318553618492,8.805,26.840999999999998
11.0,0,33.3,16.7,16.7,16.7,16.7,175.0,0.09999999999986527,514.5634184837793,264.5710904890576,22.401099481418445,2.3425975776048586,8.841999999999999,26.859999999999996
12.0,0,25,0,25,25,25,154.0,0.07999999999990925,511.9727207125167,264.39436821860414,12.334331288513916,2.0794415416798357,9.5,27.5
13.0,0,23.8,5,23.8,23.8,23.8,153.0,0.099999999999798,512.6487064404423,264.42189953252205,9.18224437032101,2.274551936900175,9.344000000000001,27.380000000000003
14.0,0,22.5,10,22.5,22.5,22.5,158.0,0.09999999999985179,513.2261315953036,264.36746646027467,6.570594354299125,2.3591218475990248,9.149999999999999,27.150000000000002
15.0,0,21.3,15,21.3,21.3,21.3,161.0,0.09999999999986839,513.8626327361354,264.39503390959504,4.895926816465998,2.4032318553618492,8.994,27.029999999999998
16.0,0,16.7,33.3,16.7,16.7,16.7,172.0,0.09999999999987376,515.8965768763326,264.32522356111946,22.401099481418445,2.3425975776048586,8.344,26.361999999999995
17.0,0,25,25,25,0,25,183.0,0.0799999999999199,514.5307894956172,264.16262779903025,14.1217420245979,2.0794415416798357,9.0,27.0
18.0,0,23.8,23.8,23.8,5,23.8,182.0,0.09999999999981585,514.5409964428552,264.2481101252778,10.512725482623512,2.274551936900175,8.968000000000002,27.004000000000005
19.0,0,22.5,22.5,22.5,10,22.5,172.0,0.0999999999998605,514.469132088434,264.2517715915895,7.513176468919333,2.3591218475990248,8.899999999999999,26.900000000000002
20.0,0,21.3,21.3,21.3,15,21.3,171.0,0.09999999999987229,514.4793697795288,264.3368837026799,5.496227636486643,2.4032318553618492,8.868,26.903999999999996
21.0,0,16.7,16.7,16.7,33.3,16.7,157.0,0.09999999999986382,514.3454392171143,264.47817747661725,12.577172539843374,2.3425975776048586,8.675999999999998,26.694
22.0,0,22.5,22.5,22.5,22.5,10,170.0,0.09999999999986085,514.5173177781851,264.15485781057015,6.54633339390383,2.3591218475990248,8.649999999999999,26.650000000000002
